,ProofType,Algorithm,CoinName,PC 1,PC 2,PC 3,class
TER,PoW/PoS,Scrypt,TerraNovaCoin,-0.32667659170369584,1.1355908534927885,-0.16193635831037934,0
VIVO,PoW,NeoScrypt,VIVO Coin,-0.18279744450061486,-1.6311144179857122,0.06267731152496658,1
RUP,PoS,Lyra2REv2,Rupee,-0.31128855876576106,0.3739884603638889,-0.019483195716050356,0
BTG,PoW,Equihash,Bitcoin Gold,-0.1628215835506867,-2.1234242093212163,0.18103285078090453,1
WOMEN,PoW/PoS,Scrypt,WomenCoin,0.4748559988152848,1.1454384093844727,-0.17667530011965765,0
MAY,PoW/PoS,SHA-256,Theresa May Coin,-0.3089863747663942,0.874575396356012,-0.11676707574631116,0
NAMO,PoW/PoS,NIST5,NamoCoin,-0.34061464543013065,1.5749214120465362,-0.18234473032780446,0
LUX,PoW/PoS,PHI1612,LUXCoin,-0.36813962271830764,1.4015976705607929,-0.12277241804580093,0
PIRL,PoW,Dagger,Pirl,-0.1680445334528607,-2.3171069343175468,0.17584891975667624,1
XIOS,PoW/PoS,Scrypt,Xios,-0.3266249009533292,1.1355888880670808,-0.16193684706292485,0
BTDX,PoW/PoS,Quark,Bitcloud 2.0,-0.3963873288017586,1.6030896896849682,-0.11940122847418805,0
EBST,PoW,Scrypt,eBoost,-0.1596455107808674,-1.0761993151826832,0.011907635924600368,1
KEK,PoS,POS 2.0,KekCoin,-0.33278954679357553,1.3760510123421459,0.17083111399935064,0
BLHC,PoW/PoS,Scrypt,BlackholeCoin,-0.326489656574255,1.1355979677517007,-0.1619406511998309,0
XIN,PoS,SHA-256,Infinity Economics,-0.08260209360581872,0.5366021756652523,-0.04348472166495273,0
PURA,PoW,X11,Pura,-0.20499896687249652,-0.9162256326498097,-0.00992227550153857,1
INN,PoW,NeoScrypt,Innova,-0.1826365633951708,-1.6311216791747036,0.06267599348635217,1
ELLA,PoW,Ethash,Ellaism,-0.1301413714126295,-2.103066679683809,0.11872702284943715,1
GBX,PoW,NeoScrypt,GoByte,-0.18274082093597652,-1.631115881433374,0.06267665369243963,1
ALQO,PoW/PoS,Quark,Alqo,-0.39699515345387104,1.6031698488872697,-0.11940561110903727,0
